nome,endereco,cidade
COLEGIO GUAJUVIRAS,RUA ANDRE LUIZ DOS CONCEIÇÃO - 577 - GUAJUVIRAS,Canoas
CENTRO DE ESPORTE E LAZER SÃO JOSÉ,JOAO LEIVAS DE CARVALHO - 541 - SAO JOSÉ,Canoas
CR BRASIL,RUA CIDREIRA - 628 - ESTANCIA VELHA,Canoas
CSSGAPA,RUA TOBIAS BARRETO - 990 - NOSSA SENHORA DAS GRAÇAS,Canoas
CTG BRAZAO DO RIO GRANDE,RUA MENDES SÁ - 561 - NOSSA SENHORA DAS GRAÇAS,Canoas
CTG SEIVA NATIVA,RUA JOAO LEIVAS DE CARVALHO - 551 - SÃO JOSÉ,Canoas
EMEF ILDO,Endereço: R. Imbé - 25 - Estância Velha - Canoas - RS - 92032-170,Canoas
ESCOLA IRMAO PEDRO,RUA DOUTOR OLAVO FERNANDES - 68 - ESTANCIA VELHA,Canoas
ESCOLA PERACCHI,RUA ALBERTO RODRIGUES DE OLIVEIRA - 125 - OLARIA,Canoas
Escola Jacob Longoni,R. Porto Seguro - 197 - Nossa Sra. das Gracas - Canoas,Canoas
FENIX,RUA QUINZE DE JANEIRO - 481 - CENTRO,Canoas
IFRS CANOAS,RUA DOUTORA MARIA ZELIA CARNEIRO DE FIGUEIREDO - 870 - IGARA,Canoas
IGREJA REDENÇAO NAZARIO,AV. DO NAZARIO - 1104 - OLARIA,Canoas
MODULAR,RUA SANTOS FERREIRA - 3500 - MAL RONDON,Canoas
PAROQUIA NOSSA SENHORA DO ROSÁRIO,RUA DUQUE DE CAXIAS - 700 - MAL RONDON,Canoas
PEDIATRIA HU,AV. FARROUPILHA - 8001 - SAO JOSÉ,Canoas
RESGATADOS MACHADINHO,,Canoas
RUA ITU - 672,RUA ITU - 672 - IGARA,Canoas
ULBRA,AV. FARROUPILHA - 8001 - SAO JOSÉ,Canoas
UNILASALLE,,Canoas
SESI,RUA AURORA - 1220 - MAL RONDON,Canoas
PAROQUIA SAO LUIS,RUA CONEGO JOSÉ LEAO HARTMANN - CENTRO,Canoas
ULBRA PREDIO 14 - IDOSOS - AUTISTAS E DESASSISTIDOS,AV. FARROUPILHA - 8001 - SAO JOSÉ,Canoas
AMORJI ,RUA DAS AZALEIAS - 189 - IGARA,Canoas
ESCOLA RONDONIA,AJ RENNER - 211 - ESTANCIA VELHA,Canoas
COLÉGIO ESPÍRITO SANTO,RUA TAMOIO - 3393 - NOSSA SENHORA DAS GRAÇAS,Canoas
CLUBE DOS EMPREGADOS DA PETROBRAS (CEPE),AV GETULIO VARGAS 11001 - SÃO JOSÉ,Canoas
PARÓQUIA SANTA LUZIA,AV SANTOS FERREIRA 3850 - ESTANCIA VELHA,Canoas
COLÉGIO MIGUEL LAMPERT,R. João Leivas de Carvalho - 461 - São José,Canoas
ABRIGADOS EM CACHOEIRINHA,DIVERSAS LOCALIDADES,Canoas
COLÉGIO MARIA AUXILIADORA,AV. GUILHERME SCHELL - 5888 - CENTRO,Canoas
